rank,team,win_group_pct,runnerup_pct,advance_top2_pct,best_third_pct,reach_r32_pct,reach_r16_pct,reach_qf_pct,reach_sf_pct,reach_final_pct,champion_pct,champion_count_of_1000
1,Spain,81.7,16.5,98.2,1.0,99.2,76.3,56.2,46.8,34.1,22.4,224
2,Argentina,78.5,16.4,94.9,3.0,97.9,68.5,56.4,41.9,28.9,17.8,178
3,France,59.5,27.3,86.8,8.5,95.3,69.0,48.0,29.7,15.9,7.9,79
4,England,59.8,28.4,88.2,8.6,96.8,65.9,40.2,24.8,12.9,7.3,73
5,Brazil,55.9,29.3,85.2,8.6,93.8,59.4,35.6,22.1,11.0,6.7,67
6,Colombia,45.9,32.4,78.3,12.9,91.2,60.8,33.5,17.0,9.5,4.7,47
7,Mexico,69.6,21.0,90.6,6.2,96.8,66.1,35.1,19.3,9.3,3.8,38
8,Portugal,43.5,35.4,78.9,12.2,91.1,54.3,30.6,14.9,6.8,3.3,33
9,Germany,42.6,37.3,79.9,15.1,95.0,58.0,30.6,14.3,6.3,3.0,30
10,Netherlands,46.4,33.5,79.9,11.2,91.1,51.4,28.2,14.1,7.6,2.9,29
11,Japan,41.7,36.6,78.3,15.0,93.3,46.2,23.2,11.1,5.1,2.9,29
12,Ecuador,47.4,35.7,83.1,12.4,95.5,63.1,33.9,16.9,7.5,2.8,28
13,Canada,49.8,39.4,89.2,7.6,96.8,58.7,29.5,12.7,5.1,2.1,21
14,Belgium,41.9,28.4,70.3,15.5,85.8,51.1,23.8,8.9,4.6,1.8,18
15,Switzerland,45.8,42.7,88.5,7.5,96.0,56.6,26.0,10.0,3.8,1.5,15
16,Morocco,31.7,38.5,70.2,17.2,87.4,44.1,23.7,11.2,3.7,1.5,15
17,Norway,24.2,34.0,58.2,21.5,79.7,42.6,21.3,7.4,2.9,1.3,13
18,Croatia,26.9,41.5,68.4,20.1,88.5,48.0,20.3,9.1,3.3,1.0,10
19,Uruguay,16.1,62.0,78.1,12.6,90.7,37.5,21.9,9.3,4.5,0.8,8
20,Türkiye,33.9,25.5,59.4,18.7,78.1,44.1,21.0,7.1,2.7,0.8,8
21,United States,20.3,23.9,44.2,19.6,63.8,33.2,13.4,5.0,2.1,0.7,7
22,South Korea,18.6,42.8,61.4,21.0,82.4,40.1,13.9,4.8,1.8,0.7,7
23,Iran,32.9,31.1,64.0,18.0,82.0,42.6,17.0,6.1,2.0,0.5,5
24,Paraguay,23.3,24.7,48.0,17.6,65.6,31.8,11.7,4.1,1.3,0.5,5
25,Senegal,13.8,30.0,43.8,26.6,70.4,33.5,15.6,5.1,1.6,0.3,3
26,Austria,11.4,36.1,47.5,22.0,69.5,21.3,9.6,3.1,0.9,0.2,2
27,Algeria,7.4,31.4,38.8,21.1,59.9,16.0,5.6,2.1,0.8,0.2,2
28,Australia,22.5,25.9,48.4,18.3,66.7,32.8,13.1,4.8,0.9,0.1,1
29,Panama,12.3,26.3,38.6,32.9,71.5,25.3,8.8,3.2,0.8,0.1,1
30,Egypt,16.6,25.2,41.8,21.1,62.9,24.4,7.2,1.9,0.4,0.1,1
31,Uzbekistan,6.6,20.0,26.6,26.8,53.4,16.5,4.9,1.4,0.2,0.1,1
32,Jordan,2.7,16.1,18.8,17.4,36.2,7.9,2.5,0.3,0.1,0.1,1
33,Bosnia and Herzegovina,3.0,11.4,14.4,26.5,40.9,7.7,1.4,0.3,0.1,0.1,1
34,Côte d'Ivoire,9.1,24.0,33.1,33.6,66.7,24.8,7.8,2.0,0.4,0.0,0
35,Scotland,9.0,22.9,31.9,26.9,58.8,18.3,5.6,1.4,0.3,0.0,0
36,Czechia,10.1,27.9,38.0,27.8,65.8,26.1,6.5,2.2,0.2,0.0,0
37,Tunisia,5.5,14.1,19.6,20.8,40.4,11.2,2.7,0.7,0.2,0.0,0
38,New Zealand,8.6,15.3,23.9,18.0,41.9,11.8,2.5,0.8,0.1,0.0,0
39,DR Congo,4.0,12.2,16.2,17.1,33.3,6.4,1.8,0.6,0.1,0.0,0
40,Sweden,6.4,15.8,22.2,22.5,44.7,11.7,3.0,0.5,0.1,0.0,0
41,Qatar,1.4,6.5,7.9,17.1,25.0,4.1,0.6,0.1,0.1,0.0,0
42,Iraq,2.5,8.7,11.2,14.1,25.3,6.1,1.7,0.5,0.0,0.0,0
43,Haiti,3.4,9.3,12.7,13.4,26.1,5.1,0.8,0.3,0.0,0.0,0
44,Cabo Verde,0.8,10.2,11.0,16.5,27.5,5.4,0.7,0.1,0.0,0.0,0
45,Saudi Arabia,1.4,11.3,12.7,16.8,29.5,5.8,1.4,0.0,0.0,0.0,0
46,South Africa,1.7,8.3,10.0,13.4,23.4,4.7,0.7,0.0,0.0,0.0,0
47,Curaçao,0.9,3.0,3.9,8.1,12.0,2.4,0.5,0.0,0.0,0.0,0
48,Ghana,1.0,3.8,4.8,9.6,14.4,1.3,0.0,0.0,0.0,0.0,0
